Blob hydrophobicity  class,Hydrophobicity cutoff,total SNPs,Blob length,Enrichment ,p value
h,0.04,19,11,0.35,2.50E-02
h,0.04,21,12,1.44,2.05E-01
h,0.04,15,13,0.65,4.67E-01
h,0.04,22,14,0.21,5.60E-04
h,0.04,36,15,0.74,3.39E-01
h,0.04,19,16,0.76,6.19E-01
h,0.04,26,17,0.82,6.67E-01
h,0.04,27,18,0.37,8.18E-03
h,0.04,35,19,1.23,3.46E-01
h,0.04,49,20,0.83,4.65E-01
h,0.04,40,21,0.19,5.80E-07
h,0.04,34,22,0.91,8.98E-01
h,0.04,37,23,0.99,1.00E+00
h,0.04,35,24,0.87,7.08E-01
h,0.04,37,25,0.3,2.20E-04
h,0.04,60,26,0.7,1.19E-01
h,0.04,42,27,0.59,5.48E-02
h,0.04,41,28,0.75,3.13E-01
h,0.04,47,29,0.19,8.62E-08
h,0.04,27,30,0.37,8.18E-03
h,0.04,44,31,0.68,1.37E-01
h,0.04,84,32,1.03,8.67E-01
h,0.04,55,33,0.81,3.77E-01
h,0.04,61,34,0.85,5.09E-01
h,0.04,42,35,0.22,1.43E-06
h,0.04,42,36,0.41,1.61E-03
h,0.04,45,37,0.59,4.99E-02
h,0.04,48,38,0.93,9.14E-01
h,0.04,72,39,0.88,5.42E-01
h,0.04,58,40,0.54,7.20E-03
h,0.04,81,41,0.99,1.00E+00
h,0.04,43,42,0.63,8.84E-02
h,0.04,40,43,0.63,9.81E-02
h,0.04,61,44,0.74,1.69E-01
h,0.04,41,45,0.14,2.89E-08
h,0.04,45,46,0.79,3.88E-01
h,0.04,75,47,0.73,1.16E-01
h,0.04,53,48,1.17,4.48E-01
h,0.04,94,49,0.89,5.40E-01
h,0.04,46,50,0.7,1.73E-01
h,0.04,58,51,0.5,2.58E-03
h,0.04,56,52,0.73,1.81E-01
h,0.04,70,53,0.6,1.29E-02
h,0.04,58,54,0.54,7.20E-03
h,0.04,63,55,1.35,9.91E-02
h,0.04,106,56,1.99,5.85E-07
h,0.04,75,57,0.54,2.11E-03
h,0.04,47,58,0.67,1.23E-01
h,0.04,50,59,0.67,1.10E-01
h,0.04,54,60,0.33,1.66E-05
h,0.04,87,61,1.22,2.00E-01
h,0.04,78,62,0.65,2.61E-02
h,0.04,62,63,0.72,1.24E-01
h,0.04,60,64,0.65,5.69E-02
h,0.04,81,65,0.73,9.51E-02
h,0.04,53,66,0.2,1.64E-08
h,0.04,55,67,0.49,2.73E-03
h,0.04,64,68,0.95,9.25E-01
h,0.04,101,69,1.56,1.74E-03
h,0.04,52,70,0.17,3.32E-09
h,0.04,60,71,0.6,2.51E-02
h,0.04,71,72,0.41,3.27E-05
h,0.04,106,73,1.46,7.35E-03
h,0.04,85,74,1.22,1.96E-01
