Hydrophobicity cutoff,Blob length,Blob hydrophobicity  class,total SNPs,Enrichment,p value,color
0.02,15,h,7,1.74,0.301,"rgb(63.411764705882355, 63.411764705882355, 252.41176470588235)"
0.02,16,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.02,17,h,8,0.19,0.0514,"rgb(253.1176470588235, 46.117647058823536, 46.117647058823536)"
0.02,18,h,12,1.83,0.116,"rgb(40.352941176470594, 40.352941176470594, 253.3529411764706)"
0.02,19,h,4,3.92,0.0427,"rgb(0.0, 0.0, 255.0)"
0.02,20,h,14,0.36,0.0573,"rgb(251.3921568627451, 88.3921568627451, 88.3921568627451)"
0.02,21,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.02,22,h,8,0.0,0.00389,"rgb(255.0, 0.0, 0.0)"
0.02,23,h,7,0.98,1.0,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.02,24,h,8,0.78,1.0,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.02,25,h,18,0.26,0.00712,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.02,26,h,20,0.7,0.428,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.02,27,h,10,0.56,0.51,"rgb(249.4313725490196, 136.4313725490196, 136.4313725490196)"
0.02,28,h,9,0.0,0.00183,"rgb(255.0, 0.0, 0.0)"
0.02,29,h,9,0.16,0.0387,"rgb(253.4313725490196, 38.43137254901961, 38.43137254901961)"
0.02,30,h,4,0.0,0.0835,"rgb(255.0, 0.0, 0.0)"
0.02,31,h,11,0.0,0.000406,"rgb(255.0, 0.0, 0.0)"
0.02,32,h,14,1.31,0.39,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.02,33,h,12,0.65,0.542,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.02,34,h,9,0.0,0.00183,"rgb(255.0, 0.0, 0.0)"
0.02,35,h,16,2.18,0.0295,"rgb(0.0, 0.0, 255.0)"
0.02,36,h,19,1.17,0.585,"rgb(203.68627450980395, 203.68627450980395, 246.68627450980392)"
0.02,37,h,4,1.31,0.669,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.02,38,h,7,0.98,1.0,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.02,39,h,6,0.26,0.199,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.02,40,h,13,0.82,0.84,"rgb(246.84313725490196, 199.84313725490196, 199.84313725490196)"
0.02,41,h,31,2.74,5.19e-05,"rgb(0.0, 0.0, 255.0)"
0.02,42,h,11,0.29,0.0564,"rgb(252.0980392156863, 71.09803921568627, 71.09803921568627)"
0.02,43,h,12,0.44,0.179,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.02,44,h,5,0.87,1.0,"rgb(246.29411764705884, 213.29411764705884, 213.29411764705884)"
0.02,45,h,11,0.0,0.000406,"rgb(255.0, 0.0, 0.0)"
0.02,46,h,9,0.37,0.192,"rgb(251.31372549019608, 90.31372549019609, 90.31372549019609)"
0.02,47,h,13,0.11,0.00239,"rgb(253.90196078431373, 26.901960784313726, 26.901960784313726)"
0.02,48,h,11,0.29,0.0564,"rgb(252.0980392156863, 71.09803921568627, 71.09803921568627)"
0.02,49,h,17,0.17,0.00164,"rgb(253.3529411764706, 40.35294117647059, 40.35294117647059)"
0.02,50,h,19,0.15,0.000427,"rgb(253.50980392156865, 36.509803921568626, 36.509803921568626)"
0.02,51,h,16,0.78,0.717,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
0.02,52,h,20,0.7,0.428,"rgb(248.01960784313727, 171.01960784313724, 171.01960784313724)"
0.02,53,h,22,0.61,0.235,"rgb(248.8823529411765, 149.8823529411765, 149.8823529411765)"
0.02,54,h,14,0.98,1.0,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.02,55,h,31,3.75,1.45e-07,"rgb(0.0, 0.0, 255.0)"
0.02,56,h,50,4.63,1.7e-14,"rgb(0.0, 0.0, 255.0)"
0.02,57,h,21,1.74,0.0808,"rgb(63.411764705882355, 63.411764705882355, 252.41176470588235)"
0.02,58,h,17,0.28,0.0132,"rgb(252.25490196078434, 67.25490196078432, 67.25490196078432)"
0.02,59,h,12,0.65,0.542,"rgb(248.49019607843135, 159.49019607843138, 159.49019607843138)"
0.02,60,h,17,0.91,1.0,"rgb(245.90196078431373, 222.90196078431373, 222.90196078431373)"
0.02,61,h,22,1.31,0.384,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.02,62,h,30,0.4,0.00814,"rgb(251.0, 98.0, 98.0)"
0.02,63,h,14,0.36,0.0573,"rgb(251.3921568627451, 88.3921568627451, 88.3921568627451)"
0.02,64,h,12,0.26,0.0431,"rgb(252.41176470588235, 63.41176470588235, 63.41176470588235)"
0.02,65,h,34,0.4,0.00471,"rgb(251.0, 98.0, 98.0)"
0.02,66,h,22,1.31,0.384,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.02,67,h,15,0.0,2.06e-05,"rgb(255.0, 0.0, 0.0)"
0.02,68,h,20,0.44,0.0538,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.02,69,h,4,0.0,0.0835,"rgb(255.0, 0.0, 0.0)"
0.02,70,h,15,0.2,0.00616,"rgb(253.0392156862745, 48.03921568627451, 48.03921568627451)"
0.02,71,h,17,0.17,0.00164,"rgb(253.3529411764706, 40.35294117647059, 40.35294117647059)"
0.02,72,h,21,0.8,0.749,"rgb(247.0, 196.0, 196.0)"
0.02,73,h,38,0.35,0.000532,"rgb(251.54901960784315, 84.54901960784314, 84.54901960784314)"
0.02,74,h,21,0.8,0.749,"rgb(247.0, 196.0, 196.0)"
0.02,75,h,32,1.91,0.00976,"rgb(21.13725490196084, 21.13725490196084, 254.13725490196077)"
0.02,76,h,21,0.31,0.00773,"rgb(251.94117647058823, 74.94117647058825, 74.94117647058825)"
0.02,77,h,26,0.11,3.56e-06,"rgb(253.90196078431373, 26.901960784313726, 26.901960784313726)"
0.02,78,h,26,0.17,4.1e-05,"rgb(253.3529411764706, 40.35294117647059, 40.35294117647059)"
